Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,-9999
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-246,1998,30,27,2236,24.8,2,2,4,2,0,0,5,1,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-063,1999,18,11,819,9.1,0,0,0,0,0,0,4,0,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-361,1997,25,21,1909,21.2,0,0,0,0,0,0,3,0,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-117,1997,14,9,818,9.1,4,2,6,4,0,0,2,0,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-115,1994,33,31,2818,31.3,2,1,3,2,0,0,3,0,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-294,1993,26,16,1360,15.1,1,0,1,1,0,0,4,0,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-121,1997,22,18,1742,19.4,1,0,1,1,0,0,2,0,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-329,1998,15,7,692,7.7,0,2,2,0,0,0,0,0,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-180,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-114,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-142,1997,35,35,3139,34.9,3,0,3,3,0,0,4,0,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-129,1993,22,14,1263,14.0,4,2,6,4,0,0,6,1,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-122,2000,31,31,2532,28.1,0,3,3,0,0,0,10,1,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-110,1999,19,5,587,6.5,0,0,0,0,0,0,2,0,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-153,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-115,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,3a949a25
144,Shane Duffy,ie IRL,DFFW,Fulham,31-129,1992,5,0,20,0.2,0,0,0,0,0,0,0,0,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-170,1991,33,33,2969,33.0,1,0,1,1,0,0,4,0,282f75f3
146,Jhon Durán,co COL,FWMF,Aston Villa,19-148,2003,10,0,109,1.2,0,0,0,0,0,0,1,0,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-248,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-266,1993,33,33,2970,33.0,0,1,1,0,0,0,3,0,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-114,1998,32,18,1618,18.0,4,2,6,4,0,0,3,0,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-102,2003,17,5,567,6.3,0,0,0,0,0,0,0,0,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-013,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-036,2003,29,18,1566,17.4,1,2,3,1,0,0,1,0,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-303,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-279,1994,30,25,2017,22.4,0,1,1,0,0,0,3,0,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-116,1999,23,17,1481,16.5,2,1,3,2,0,0,2,1,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-085,1992,24,22,1789,19.9,1,7,8,1,0,0,3,0,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-109,1998,30,27,2270,25.2,0,4,4,0,0,0,3,0,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-127,1988,10,9,811,9.0,0,0,0,0,0,0,0,0,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-315,1998,35,27,2366,26.3,8,3,11,7,1,1,3,0,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-022,1985,33,33,2841,31.6,0,0,0,0,0,0,1,0,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-199,1993,33,28,2445,27.2,0,1,1,0,0,0,10,0,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-037,1998,28,28,2516,28.0,0,2,2,0,0,0,6,1,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-359,1989,14,13,1250,13.9,0,1,1,0,0,0,4,0,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-181,1999,13,10,810,9.0,3,0,3,3,0,0,0,1,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-203,2004,14,7,646,7.2,4,2,6,4,0,0,1,0,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-244,1994,33,33,2968,33.0,6,7,13,5,1,1,6,0,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-113,2001,14,14,1187,13.2,0,2,2,0,0,0,1,0,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-220,1991,23,12,1138,12.6,9,4,13,9,0,0,0,0,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-261,1996,17,13,1248,13.9,1,1,2,1,0,0,5,0,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-347,2000,28,18,1522,16.9,10,6,16,10,0,0,1,0,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-139,2002,2,1,61,0.7,0,0,0,0,0,0,0,0,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-144,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-144,2000,12,10,958,10.6,1,0,1,1,0,0,3,0,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-077,1996,29,14,1267,14.1,2,1,3,2,0,0,0,0,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-214,1991,9,3,283,3.1,0,0,0,0,0,0,0,0,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-054,1988,11,10,945,10.5,0,0,0,0,0,0,1,0,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-298,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-075,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-066,1993,31,11,1148,12.8,2,1,3,2,0,0,6,0,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-212,1992,12,5,533,5.9,0,0,0,0,0,0,1,0,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-025,1992,28,24,2161,24.0,0,0,0,0,0,0,4,0,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,24-003,1999,18,15,1244,13.8,6,2,8,6,0,0,0,0,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-093,2000,31,14,1313,14.6,3,1,4,3,0,0,10,1,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-226,1989,30,29,2351,26.1,0,1,1,0,0,0,7,0,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-313,2004,15,4,453,5.0,2,2,4,2,0,0,2,0,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-058,2001,13,4,549,6.1,0,1,1,0,0,0,1,0,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-184,1990,34,34,3060,34.0,0,0,0,0,0,0,0,0,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,21-006,2002,15,1,212,2.4,0,2,2,0,0,0,1,0,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-246,1993,13,0,132,1.5,0,0,0,0,0,0,0,0,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-103,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-103,2000,32,31,2703,30.0,5,7,12,3,2,2,3,0,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-333,2001,10,4,340,3.8,0,0,0,0,0,0,1,0,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-186,2003,21,14,1267,14.1,2,4,6,2,0,0,6,0,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,13,10,802,8.9,0,1,1,0,0,0,2,0,9f7c837d
195,João Gomes,br BRA,MF,Wolves,22-087,2001,9,5,479,5.3,1,0,1,1,0,0,5,0,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,14,8,810,9.0,1,0,1,1,0,0,6,0,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,20,14,1376,15.3,0,0,0,0,0,0,3,0,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-248,2000,8,0,174,1.9,0,1,1,0,0,0,0,0,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-075,2001,12,3,397,4.4,0,0,0,0,0,0,1,0,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-075,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-316,1996,30,26,2360,26.2,4,1,5,2,2,2,3,0,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-242,1995,27,23,2042,22.7,5,7,12,5,0,0,4,0,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-104,2002,16,2,372,4.1,1,2,3,1,0,0,1,0,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-329,1991,32,32,2811,31.2,8,6,14,8,0,0,3,0,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-120,1987,27,27,2430,27.0,0,0,0,0,0,0,1,0,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-162,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,e6bc67d7
