Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT_percentage,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,-9999
464,Bernardo Silva,pt POR,MFFW,Manchester City,28-273,1994,23.4,4,25,9,36.0,1.07,0.38,0.16,0.44,18.1,0,0,0,3eb22ec9
465,Thiago Silva,br BRA,DF,Chelsea,38-230,1984,23.1,0,14,2,14.3,0.61,0.09,0.00,0.00,13.6,0,0,0,86e7deaf
466,Ellis Simms,eng ENG,FW,Everton,22-125,2001,2.5,1,8,1,12.5,3.21,0.40,0.13,1.00,16.1,0,0,0,26d3b5be
467,Luis Sinisterra,co COL,FW,Leeds United,23-327,1999,9.6,5,28,11,39.3,2.91,1.14,0.18,0.45,16.2,0,0,0,8e16dd48
468,Oliver Skipp,eng ENG,MF,Tottenham,22-236,2000,13.9,1,7,3,42.9,0.50,0.22,0.14,0.33,23.2,0,0,0,6250083a
469,Adam Smith,eng ENG,DF,Bournemouth,32-011,1991,30.7,0,5,1,20.0,0.16,0.03,0.00,0.00,16.2,0,0,0,20b104bc
470,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-286,2000,1.6,0,4,1,25.0,2.54,0.63,0.00,0.00,15.8,0,0,0,17695062
471,Cédric Soares,pt POR,DF,Arsenal,31-252,1991,0.3,0,0,0,,0.00,0.00,,,,0,0,0,839c14e1
472,Cédric Soares,pt POR,DF,Fulham,31-252,1991,2.2,0,2,0,0.0,0.91,0.00,0.00,,25.4,0,0,0,839c14e1
473,Dominic Solanke,eng ENG,FW,Bournemouth,25-238,1997,28.8,6,70,27,38.6,2.43,0.94,0.09,0.22,12.8,0,0,0,e77dc3b2
474,Manor Solomon,il ISR,FW,Fulham,23-290,1999,5.8,4,8,5,62.5,1.38,0.86,0.50,0.80,18.6,0,0,0,886f9aac
475,Tomáš Souček,cz CZE,MF,West Ham,28-072,1995,29.6,2,32,11,34.4,1.08,0.37,0.06,0.18,11.2,0,0,0,6613c819
476,Boubakary Soumaré,fr FRA,MF,Leicester City,24-072,1999,15.1,0,1,0,0.0,0.07,0.00,0.00,,28.0,0,0,0,ae59b359
477,Harry Souttar,au AUS,DF,Leicester City,24-200,1998,10.0,0,8,1,12.5,0.80,0.10,0.00,0.00,9.6,0,0,0,0a6cb1b1
478,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-352,1996,5.9,1,5,2,40.0,0.85,0.34,0.20,0.50,9.5,0,0,0,21166ff4
479,Djed Spence,eng ENG,FWDF,Tottenham,22-274,2000,0.1,0,1,0,0.0,12.86,0.00,0.00,,8.9,0,0,0,9bc9a519
480,Jack Stacey,eng ENG,DF,Bournemouth,27-034,1996,3.3,0,1,0,0.0,0.30,0.00,0.00,,16.0,0,0,0,558807c0
481,Junior Stanislas,eng ENG,MF,Bournemouth,33-165,1989,0.7,0,1,0,0.0,1.48,0.00,0.00,,24.5,0,0,0,6992791d
482,Jay Stansfield,eng ENG,FW,Fulham,20-167,2002,1.0,0,2,0,0.0,2.07,0.00,0.00,,13.9,0,0,0,b2626673
483,Jason Steele,eng ENG,GK,Brighton,32-265,1990,10.0,0,0,0,,0.00,0.00,,,,0,0,0,28300a16
484,Jack Stephens,eng ENG,DF,Southampton,29-103,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,6adbc307
