Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp_percentage,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp_percentage,medium_Cmp,medium_Att,medium_Cmp_percentage,Long_Cmp,Long_Att,Long_Cmp_percentage,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,30.4,1762,1983,88.9,26824,7052,986,1064,92.7,599,660,90.8,118,147,80.3,1,2.5,2.4,-1.5,39,161,32,5,194,Matches,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-110,1991,8.5,527,619,85.1,8348,1983,273,296,92.2,187,214,87.4,43,67,64.2,0,1.2,1.3,-1.2,10,61,15,5,74,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,10.5,480,568,84.5,9398,3504,155,173,89.6,268,289,92.7,53,93,57.0,0,0.0,0.2,0.0,1,26,0,0,33,Matches,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-055,1997,12.0,121,205,59.0,1427,283,77,117,65.8,27,50,54.0,4,6,66.7,1,0.8,0.8,+0.2,9,10,4,0,14,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-131,2002,0.8,23,32,71.9,344,64,10,11,90.9,13,14,92.9,0,5,0.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,+0.1,12,80,36,9,106,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-133,2002,0.3,4,5,80.0,37,0,3,4,75.0,1,1,100.0,0,0,,0,0.5,0.0,-0.5,1,0,0,0,0,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-097,1997,0.9,23,43,53.5,268,76,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,2.3,112,142,78.9,2338,881,35,41,85.4,60,71,84.5,17,28,60.7,0,0.0,0.1,0.0,1,9,1,0,11,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-253,2002,3.8,114,139,82.0,1526,270,70,81,86.4,30,37,81.1,5,6,83.3,0,0.1,0.2,-0.1,1,7,2,0,11,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-076,1992,19.9,935,1213,77.1,16577,5968,431,513,84.0,378,460,82.2,105,175,60.0,3,2.5,3.4,+0.5,22,108,20,4,121,Matches,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,18.2,733,939,78.1,12836,4308,327,364,89.8,339,411,82.5,57,125,45.6,1,0.7,0.9,+0.3,8,55,15,9,74,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,33.2,1393,1736,80.2,20031,7912,853,953,89.5,439,548,80.1,59,122,48.4,3,2.6,2.2,+0.4,22,84,20,10,103,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,14.0,701,832,84.3,11101,3638,382,419,91.2,264,305,86.6,44,62,71.0,0,1.0,0.8,-1.0,5,60,10,2,70,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-107,2004,5.9,129,177,72.9,1598,373,90,115,78.3,35,46,76.1,1,6,16.7,2,1.2,0.9,+0.8,10,13,8,0,21,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-149,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,14.4,831,941,88.3,14876,4344,323,361,89.5,445,479,92.9,56,80,70.0,0,0.2,0.3,-0.2,2,54,3,1,59,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-110,1995,3.9,157,207,75.8,2924,1310,66,76,86.8,77,94,81.9,14,31,45.2,0,0.3,0.2,-0.3,2,9,2,1,16,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-140,1996,15.6,762,977,78.0,10963,3238,469,507,92.5,223,284,78.5,42,123,34.1,2,2.2,2.4,-0.2,21,42,10,7,41,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-077,1995,18.3,459,578,79.4,7382,1771,242,285,84.9,157,176,89.2,42,75,56.0,1,2.2,1.9,-1.2,26,41,17,2,62,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-202,2003,2.6,98,117,83.8,1240,297,70,82,85.4,15,19,78.9,5,5,100.0,0,0.1,0.1,-0.1,3,6,4,2,12,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-092,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-035,1991,18.2,654,832,78.6,10205,3887,341,386,88.3,283,346,81.8,24,73,32.9,0,0.7,0.6,-0.7,7,51,6,5,52,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-074,1993,21.9,972,1149,84.6,20673,7966,268,286,93.7,548,588,93.2,148,257,57.6,1,0.3,0.5,+0.7,4,71,3,1,40,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-198,1989,5.5,119,143,83.2,1936,446,61,71,85.9,48,55,87.3,8,11,72.7,0,0.2,0.2,-0.2,2,12,3,1,16,Matches,963a9201
