Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,-9999
371,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-208,1998,6.5,214,207,7,4,0,0,4,3,0,0,0,0,166,0,4,089667a5
372,Odeluga Offiah,eng ENG,DF,Brighton,20-196,2002,0.0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,65c3efa2
373,Angelo Ogbonna,it ITA,DF,West Ham,34-352,1988,11.7,335,329,6,6,0,0,0,0,0,0,0,0,266,0,2,74b2cd7e
374,Michael Olise,fr FRA,FWMF,Crystal Palace,21-149,2001,27.6,1258,1053,204,54,3,18,213,16,114,49,45,4,869,1,43,c4486bac
375,Robin Olsen,se SWE,GK,Aston Villa,33-122,1990,3.1,131,89,40,12,0,1,0,0,0,0,0,0,74,2,1,e7ee38c3
376,Amadou Onana,be BEL,MF,Everton,21-267,2001,25.4,893,883,6,4,4,7,4,1,0,0,0,0,744,4,5,828657ff
377,Josh Onomah,eng ENG,MF,Fulham,26-013,1997,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,6612cd8c
378,Paul Onuachu,ng NGA,FW,Southampton,28-347,1994,3.8,77,76,1,1,0,2,0,0,0,0,0,0,50,0,4,c06d1086
379,Frank Onyeka,ng NGA,MF,Brentford,25-129,1998,7.8,210,209,1,0,0,1,2,1,0,0,0,0,154,0,7,2944f86f
380,Mislav Oršić,hr CRO,MF,Southampton,30-132,1992,0.1,3,2,1,0,0,0,0,1,0,0,0,0,2,0,0,ee950928
381,Stefan Ortega,de GER,GK,Manchester City,30-185,1992,1.0,47,45,2,0,0,0,0,0,0,0,0,0,43,0,0,c1242d4e
382,Dango Ouattara,bf BFA,MFFW,Bournemouth,21-088,2002,11.7,278,269,8,0,4,4,27,6,1,0,0,0,171,1,12,2f9e4435
383,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-268,1993,3.7,106,102,2,0,2,3,2,2,0,0,0,0,75,2,4,38c7feef
384,David Ozoh,,FW,Crystal Palace,17-344,2005,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,d00d45ab
385,João Palhinha,pt POR,MF,Fulham,27-305,1995,31.7,1169,1129,37,25,0,35,3,0,0,0,0,0,963,3,15,a78ff07f
386,Cole Palmer,eng ENG,FWMF,Manchester City,21-004,2002,1.7,87,86,1,0,0,1,4,0,1,0,0,0,76,0,0,dc7f8a28
387,Emerson Palmieri,it ITA,DFFW,West Ham,28-280,1994,12.4,585,490,93,7,0,0,34,76,10,1,6,0,458,2,23,e0bc6fdc
388,Lucas Paquetá,br BRA,MF,West Ham,25-256,1997,22.1,1035,961,66,19,13,7,21,1,0,0,0,0,804,8,24,9b6f7fd5
389,Thomas Partey,gh GHA,MF,Arsenal,29-331,1993,25.2,1782,1730,49,29,11,12,7,20,0,0,0,0,1547,3,18,529f49ab
390,Nathan Patterson,sct SCO,DFMF,Everton,21-206,2001,12.9,592,454,137,7,1,0,34,130,0,0,0,0,446,1,13,230f0471
391,Ben Pearson,eng ENG,MF,Bournemouth,28-126,1995,3.2,134,130,4,3,0,1,0,0,0,0,0,0,108,0,1,a6b461e7
392,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-141,2001,0.6,13,12,1,0,0,0,0,1,0,0,0,0,12,0,0,ac7e7b1c
393,Andreas Pereira,br BRA,MF,Fulham,27-129,1996,29.9,1068,826,231,81,1,21,196,6,116,51,50,0,701,11,39,6639e500
394,Ricardo Pereira,pt POR,DFMF,Leicester City,29-216,1993,4.3,285,233,50,9,0,0,16,39,0,0,0,0,228,2,11,75a72a99
395,Ayoze Pérez,es ESP,MFFW,Leicester City,29-285,1993,4.2,171,156,14,1,5,0,17,1,11,6,5,0,118,1,11,819aa8e7
396,Ivan Perišić,hr CRO,DFMF,Tottenham,34-097,1989,23.3,1101,880,216,16,0,13,189,135,65,57,4,0,702,5,42,6fe90922
397,Romain Perraud,fr FRA,DF,Southampton,25-230,1997,20.4,885,729,151,7,1,0,77,143,1,0,0,0,623,5,41,6dfd8f05
398,Máximo Perrone,ar ARG,MF,Manchester City,20-123,2003,0.2,21,20,0,0,0,0,0,0,0,0,0,0,18,1,1,53552942
399,Kalvin Phillips,eng ENG,MF,Manchester City,27-159,1995,1.2,135,133,2,2,0,1,0,0,0,0,0,0,123,0,1,4f565d77
400,Nathaniel Phillips,eng ENG,DF,Liverpool,26-050,1997,0.7,82,80,2,2,0,2,0,0,0,0,0,0,71,0,0,515ebe8d
401,Jordan Pickford,eng ENG,GK,Everton,29-064,1994,34.0,1212,762,445,153,1,4,0,0,0,0,0,0,686,5,1,4806ec67
402,Ethan Pinnock,jm JAM,DF,Brentford,29-346,1993,27.0,1024,963,57,14,0,2,9,43,0,0,0,0,803,4,5,e541326e
403,Daniel Podence,pt POR,FWMF,Wolves,27-201,1995,18.6,636,582,51,8,8,7,55,11,26,9,8,0,427,3,19,7fcc71d8
404,Nick Pope,eng ENG,GK,Newcastle Utd,31-021,1992,33.2,836,574,262,66,0,3,0,0,0,0,0,0,575,0,1,4b40d9ca
405,Pedro Porro,es ESP,DFMF,Tottenham,23-239,1999,10.5,526,422,103,5,3,2,62,78,20,10,10,0,380,1,19,27d0a506
406,Dennis Praet,be BEL,MFFW,Leicester City,28-361,1994,7.2,270,254,14,2,2,0,15,5,2,0,0,0,200,2,15,86695068
407,Isaac Price,nir NIR,MF,Everton,19-226,2003,0.4,14,14,0,0,0,0,1,0,0,0,0,0,12,0,0,b9403c99
408,Christian Pulisic,us USA,FWDF,Chelsea,24-234,1998,8.7,289,282,4,0,1,0,16,4,0,0,0,0,228,3,8,1bf33a9a
409,Aaron Ramsdale,eng ENG,GK,Arsenal,24-361,1998,35.0,1014,793,219,72,0,6,0,1,0,0,0,0,693,2,3,466fb2c5
410,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-347,2001,26.3,822,813,3,2,2,3,14,1,0,0,0,0,677,6,23,1544f145
411,Marcus Rashford,eng ENG,FW,Manchester Utd,25-191,1997,30.5,770,746,20,2,2,6,24,9,0,0,0,0,585,4,29,a1d5bd30
412,David Raya,es ESP,GK,Brentford,27-237,1995,35.0,1493,1064,425,172,0,17,0,1,0,0,0,0,964,4,1,98ea5115
413,Tim Ream,us USA,DF,Fulham,35-217,1987,32.2,1922,1858,59,34,0,25,4,11,0,0,0,0,1662,5,8,28b40c9c
414,Nathan Redmond,eng ENG,DF,Southampton,29-065,1994,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,ab651565
415,Harrison Reed,eng ENG,MF,Fulham,28-103,1995,29.6,1176,1124,47,12,0,4,48,4,2,1,1,0,908,5,42,803ae100
416,Bobby Reid,jm JAM,FWDF,Fulham,30-097,1993,27.1,895,817,74,6,1,2,53,68,0,0,0,0,629,4,34,0f7533cd
417,Declan Rice,eng ENG,MF,West Ham,24-116,1999,34.0,1949,1879,66,45,4,56,42,2,19,15,1,0,1676,4,25,1c7012b8
418,Chris Richards,us USA,DF,Crystal Palace,23-043,2000,5.0,203,190,13,5,0,0,0,8,0,0,0,0,169,0,1,0a3d6d2b
419,Richarlison,br BRA,MFFW,Tottenham,26-000,1997,10.2,259,251,8,0,4,1,16,0,0,0,0,0,184,0,12,fa031b34
420,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-243,1996,0.5,35,28,7,2,0,0,0,4,1,0,0,0,26,0,1,7a1f2c08
421,Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-242,1989,0.4,31,31,0,0,0,0,2,0,0,0,0,0,24,0,3,71ef519e
422,Andrew Robertson,sct SCO,DF,Liverpool,29-060,1994,26.9,2115,1757,351,59,2,9,185,214,78,21,48,0,1678,7,41,2e4f5f03
423,Antonee Robinson,us USA,DF,Fulham,25-275,1997,31.3,1733,1427,305,18,0,3,125,287,0,0,0,0,1266,1,46,289601e6
424,Joel Robles,es ESP,GK,Leeds United,32-327,1990,1.0,39,18,21,6,0,0,0,0,0,0,0,0,23,0,0,cda0b317
425,Marc Roca,es ESP,MF,Leeds United,26-165,1996,25.6,1283,1177,101,54,6,10,75,3,40,20,16,0,972,5,17,da27e268
426,Marek Rodák,sk SVK,GK,Fulham,26-148,1996,2.0,61,38,23,8,0,0,0,0,0,0,0,0,29,0,0,17acc2ed
427,Rodri,es ESP,MF,Manchester City,26-322,1996,30.2,2812,2770,41,35,2,26,6,3,0,0,0,0,2563,1,21,6434f10d
428,Rodrigo,es ESP,FWMF,Leeds United,32-065,1991,18.5,496,445,46,0,4,10,16,6,1,0,0,0,349,5,8,1fb1c435
429,Mads Roerslev,dk DEN,DF,Brentford,23-320,1999,12.2,291,273,18,1,2,0,19,17,0,0,0,0,186,0,21,57c94db2
430,Cristian Romero,ar ARG,DF,Tottenham,25-013,1998,25.3,1533,1454,77,57,4,20,0,19,0,0,0,0,1342,2,24,a3d94a58
431,Oriol Romeu,es ESP,MF,Southampton,31-228,1991,0.8,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0,4b511457
432,Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-094,1985,5.8,162,157,5,0,2,1,3,1,0,0,0,0,121,0,10,dea698d9
433,Connor Ronan,ie IRL,MF,Wolves,25-065,1998,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0,1b804500
434,Salomón Rondón,ve VEN,FW,Everton,33-236,1989,1.2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,0,b318a643
435,Joe Rothwell,eng ENG,MF,Bournemouth,28-119,1995,10.4,426,372,53,24,4,2,25,1,20,12,4,2,357,1,6,10a10454
436,Georginio Rutter,fr FRA,FWMF,Leeds United,21-020,2002,2.7,52,49,2,0,1,0,0,0,0,0,0,0,25,1,5,c64c01fc
437,José Sá,pt POR,GK,Wolves,30-113,1993,35.0,1177,838,334,79,0,3,0,0,0,0,0,0,821,5,1,903b6e8b
438,Marcel Sabitzer,at AUT,MF,Manchester Utd,29-054,1994,7.0,307,293,9,4,2,3,4,2,1,0,0,0,237,5,7,e280527c
439,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-059,1997,11.2,401,389,9,1,4,3,29,7,1,0,0,0,279,3,16,2b16cb1a
440,Bukayo Saka,eng ENG,FW,Arsenal,21-247,2001,32.7,1321,1199,120,11,2,3,155,21,88,68,0,1,976,2,56,bc7dc64d
441,Mohamed Salah,eg EGY,FW,Liverpool,30-329,1992,33.6,1073,1040,25,3,11,3,29,14,0,0,0,0,822,8,33,e342ad68
442,William Saliba,fr FRA,DF,Arsenal,22-047,2001,26.8,1865,1822,43,34,0,2,1,0,0,0,0,0,1698,0,8,972aeb2a
443,Mohammed Salisu,gh GHA,DF,Southampton,24-023,1999,21.9,1196,1075,115,25,1,10,13,87,0,0,0,0,879,6,12,0b33f6ad
444,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-200,1999,2.2,140,135,5,5,1,1,0,0,0,0,0,0,132,0,1,1b4f1169
445,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-200,1999,6.0,264,250,10,9,2,1,0,1,0,0,0,0,228,4,2,1b4f1169
446,Davinson Sánchez,co COL,DF,Tottenham,26-332,1996,7.5,463,457,6,3,0,0,2,3,0,0,0,0,404,0,8,da7b447d
447,Robert Sánchez,es ESP,GK,Brighton,25-173,1997,23.0,781,608,168,37,0,4,0,0,0,0,0,0,604,5,3,6a713852
448,Jadon Sancho,eng ENG,FWMF,Manchester Utd,23-046,2000,15.1,622,610,10,0,3,3,16,7,2,2,0,0,519,2,22,dbf053da
449,Morgan Sanson,fr FRA,MF,Aston Villa,28-265,1994,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,6e7f1353
450,Pablo Sarabia,es ESP,FWMF,Wolves,30-364,1992,7.7,338,297,39,8,1,3,46,3,28,18,5,0,234,2,14,9744ff80
451,Jeremy Sarmiento,ec ECU,MF,Brighton,20-328,2002,2.0,67,67,0,0,0,0,3,0,0,0,0,0,53,0,1,ac0d576d
452,Gianluca Scamacca,it ITA,FW,West Ham,24-129,1999,10.3,177,173,3,0,0,8,1,0,0,0,0,0,118,1,7,8790f988
453,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-125,1994,2.0,78,72,6,0,1,2,4,3,2,0,1,0,51,0,5,2964fd20
454,Kevin Schade,de GER,FW,Brentford,21-164,2001,6.1,125,123,1,0,0,0,11,1,0,0,0,0,72,1,10,52afb588
455,Fabian Schär,ch SUI,DF,Newcastle Utd,31-141,1991,31.6,1619,1556,60,52,7,32,14,7,0,0,0,0,1240,3,16,c8aa95da
456,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,30-138,1992,28.1,900,854,40,12,3,1,16,24,0,0,0,0,665,6,21,3312f911
457,Nélson Semedo,pt POR,DF,Wolves,29-175,1993,26.2,1352,1138,211,5,4,1,52,206,0,0,0,0,1087,3,32,d04b94db
458,Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-123,2000,2.9,57,53,4,0,0,1,1,0,0,0,0,0,38,0,2,efd2ec23
459,Marcos Senesi,ar ARG,DF,Bournemouth,26-000,1997,25.7,1165,1105,51,36,1,14,8,14,0,0,0,0,926,9,18,35141f4c
460,Ryan Sessegnon,eng ENG,DF,Tottenham,22-357,2000,9.0,390,318,72,2,2,1,30,70,0,0,0,0,280,0,19,6aa3e78b
461,Luke Shaw,eng ENG,DF,Manchester Utd,27-302,1995,25.9,1922,1646,267,35,2,12,82,171,33,18,6,0,1599,9,36,9c94165b
462,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,31-072,1992,0.4,26,23,3,2,0,2,0,0,0,0,0,0,19,0,0,3727dd3c
463,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,31-072,1992,6.0,302,271,31,27,3,6,13,1,0,0,0,0,221,0,1,3727dd3c
464,Bernardo Silva,pt POR,MFFW,Manchester City,28-273,1994,23.4,1454,1380,72,14,3,9,73,48,7,0,2,0,1233,2,27,3eb22ec9
465,Thiago Silva,br BRA,DF,Chelsea,38-230,1984,23.1,1827,1763,57,52,0,15,2,2,0,0,0,0,1655,7,8,86e7deaf
466,Ellis Simms,eng ENG,FW,Everton,22-125,2001,2.5,61,61,0,0,1,0,1,0,0,0,0,0,37,0,0,26d3b5be
467,Luis Sinisterra,co COL,FW,Leeds United,23-327,1999,9.6,339,336,3,0,2,4,7,3,0,0,0,0,273,0,9,8e16dd48
468,Oliver Skipp,eng ENG,MF,Tottenham,22-236,2000,13.9,651,636,11,6,1,4,10,0,0,0,0,0,556,4,13,6250083a
469,Adam Smith,eng ENG,DF,Bournemouth,32-011,1991,30.7,1185,921,263,21,0,2,40,242,0,0,0,0,891,1,26,20b104bc
470,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-286,2000,1.6,73,69,4,0,0,0,5,0,4,2,0,0,63,0,1,17695062
471,Cédric Soares,pt POR,DF,Arsenal,31-252,1991,0.3,24,23,1,0,0,0,3,1,0,0,0,0,19,0,0,839c14e1
472,Cédric Soares,pt POR,DF,Fulham,31-252,1991,2.2,186,157,27,3,0,0,24,24,0,0,0,0,143,2,4,839c14e1
473,Dominic Solanke,eng ENG,FW,Bournemouth,25-238,1997,28.8,473,425,46,0,2,1,13,3,0,0,0,0,318,2,32,e77dc3b2
474,Manor Solomon,il ISR,FW,Fulham,23-290,1999,5.8,189,184,4,1,1,0,4,3,0,0,0,0,160,1,2,886f9aac
475,Tomáš Souček,cz CZE,MF,West Ham,28-072,1995,29.6,910,898,12,10,0,6,18,0,1,1,0,0,646,0,26,6613c819
476,Boubakary Soumaré,fr FRA,MF,Leicester City,24-072,1999,15.1,790,784,6,6,2,2,2,0,0,0,0,0,678,0,17,ae59b359
477,Harry Souttar,au AUS,DF,Leicester City,24-200,1998,10.0,535,512,18,16,1,9,0,2,0,0,0,0,436,5,3,0a6cb1b1
478,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-352,1996,5.9,309,292,14,12,0,5,0,0,0,0,0,0,241,3,2,21166ff4
479,Djed Spence,eng ENG,FWDF,Tottenham,22-274,2000,0.1,9,9,0,0,0,0,0,0,0,0,0,0,5,0,2,9bc9a519
480,Jack Stacey,eng ENG,DF,Bournemouth,27-034,1996,3.3,130,106,23,0,0,0,10,23,0,0,0,0,74,1,7,558807c0
481,Junior Stanislas,eng ENG,MF,Bournemouth,33-165,1989,0.7,28,27,1,0,0,1,1,0,1,0,0,0,22,0,1,6992791d
482,Jay Stansfield,eng ENG,FW,Fulham,20-167,2002,1.0,23,23,0,0,0,0,3,0,0,0,0,0,9,0,3,b2626673
483,Jason Steele,eng ENG,GK,Brighton,32-265,1990,10.0,332,291,40,8,1,1,0,0,0,0,0,0,298,1,0,28300a16
484,Jack Stephens,eng ENG,DF,Southampton,29-103,1994,0.5,28,25,3,1,0,0,0,2,0,0,0,0,23,0,0,6adbc307
485,Jack Stephens,eng ENG,DF,Bournemouth,29-103,1994,13.0,543,538,5,4,2,2,2,1,0,0,0,0,446,0,6,6adbc307
486,Raheem Sterling,eng ENG,FWMF,Chelsea,28-153,1994,18.3,602,581,19,0,6,0,40,5,7,7,0,0,446,2,28,b400bde0
487,John Stones,eng ENG,DFMF,Manchester City,28-347,1994,19.2,1459,1392,66,17,1,14,6,45,1,0,0,0,1355,1,9,5eecec3d
488,Pascal Struijk,nl NED,DF,Leeds United,23-272,1999,22.9,1255,1004,246,27,0,3,17,219,0,0,0,0,1006,5,25,f4d296e4
489,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-084,2002,9.2,235,228,5,0,1,1,18,1,1,0,0,0,169,2,10,a62f8bf1
490,Crysencio Summerville,nl NED,FW,Leeds United,21-192,2001,15.5,406,397,6,1,1,1,14,1,3,0,0,0,305,3,15,df04eb4b
491,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-286,1998,3.6,78,74,3,0,0,0,3,0,0,0,0,0,38,1,2,b017b770
492,Japhet Tanganga,eng ENG,DF,Tottenham,24-040,1999,1.6,92,91,1,1,0,0,1,0,0,0,0,0,82,0,0,e9971f2d
493,Matt Targett,eng ENG,DF,Newcastle Utd,27-234,1995,5.9,380,300,79,15,0,3,32,47,17,9,7,0,297,1,9,e514ab62
494,James Tarkowski,eng ENG,DF,Everton,30-172,1992,35.0,1527,1475,45,40,3,17,0,4,0,0,0,0,1236,7,4,15ea812b
495,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-049,1999,19.4,724,623,100,21,5,7,93,34,42,22,11,3,510,1,28,5c0da4a4
496,Tetê,br BRA,FW,Leicester City,23-084,2000,7.8,245,223,19,1,0,4,19,0,6,5,0,1,175,3,10,7120a04d
497,Kenny Tete,nl NED,DF,Fulham,27-213,1995,25.5,1357,1036,312,30,1,8,87,282,0,0,0,0,979,9,42,77d7c96f
498,Luke Thomas,eng ENG,DF,Leicester City,21-334,2001,9.7,560,442,116,17,3,1,8,99,0,0,0,0,446,2,20,fc027d02
499,Youri Tielemans,be BEL,MF,Leicester City,26-003,1997,23.0,1457,1365,88,45,10,7,37,15,15,6,7,0,1181,4,37,56f7a928
500,Kieran Tierney,sct SCO,DF,Arsenal,25-339,1997,7.4,432,369,59,10,1,1,20,49,0,0,0,0,322,4,9,fce2302c
501,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-264,1995,9.9,375,301,72,5,0,1,28,65,2,2,0,0,234,2,12,a105d46a
502,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-186,1998,7.4,474,420,53,4,2,2,12,49,0,0,0,0,384,1,9,b3af9be1
503,James Tomkins,eng ENG,DF,Crystal Palace,34-042,1989,3.8,171,164,7,5,0,0,0,0,0,0,0,0,138,0,3,e7ca0439
504,Ivan Toney,eng ENG,FW,Brentford,27-055,1996,32.8,787,751,29,8,12,3,34,10,1,0,0,0,468,7,31,e09f279b
505,Adama Traoré,es ESP,FWMF,Wolves,27-105,1996,14.5,441,438,1,0,3,0,73,1,0,0,0,0,290,2,24,9a28eba4
506,Bertrand Traoré,bf BFA,FWMF,Aston Villa,27-246,1995,2.6,75,72,2,0,0,2,5,1,1,1,0,0,59,1,5,c47541e0
507,Boubacar Traoré,ml MLI,MF,Wolves,21-263,2001,4.3,125,122,0,0,0,0,1,0,0,0,0,0,97,3,1,999ceb5f
508,Mark Travers,ie IRL,GK,Bournemouth,23-357,1999,10.5,324,182,142,32,0,0,0,1,0,0,0,0,244,0,0,fe558029
509,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-233,1990,33.1,2454,1805,638,163,16,12,348,284,191,80,75,13,1752,11,45,21512407
510,Leandro Trossard,be BEL,FW,Arsenal,28-157,1994,7.9,369,328,39,1,5,5,47,3,27,20,1,0,284,2,16,38ceb24a
511,Leandro Trossard,be BEL,FWMF,Brighton,28-157,1994,14.6,529,498,28,3,9,8,35,19,0,0,0,0,379,3,20,38ceb24a
512,Kostas Tsimikas,gr GRE,DF,Liverpool,26-363,1996,7.7,540,408,131,22,0,2,73,79,30,11,18,0,410,1,8,f315ca93
513,Deniz Undav,de GER,FWMF,Brighton,26-295,1996,4.6,109,105,3,0,1,1,1,0,0,0,0,0,84,1,4,dd549382
514,Yan Valery,tn TUN,DF,Southampton,24-077,1999,0.5,23,23,0,0,0,0,1,0,0,0,0,0,15,0,1,531a4aa8
515,Virgil van Dijk,nl NED,DF,Liverpool,31-306,1991,29.5,2420,2329,90,66,1,30,1,9,0,0,0,0,2186,1,9,e06683ca
516,Raphaël Varane,fr FRA,DF,Manchester Utd,30-015,1993,18.3,952,924,25,23,0,4,1,2,0,0,0,0,817,3,4,9f8e9423
517,Jamie Vardy,eng ENG,FW,Leicester City,36-119,1987,18.8,244,221,22,0,3,0,6,0,0,0,0,0,127,1,7,45963054
518,Joël Veltman,nl NED,DF,Brighton,31-115,1992,22.8,1439,1223,209,33,1,3,20,176,0,0,0,0,1202,7,26,dad4b285
519,Fabio Vieira,pt POR,MF,Arsenal,22-345,2000,5.3,268,256,12,7,2,0,17,3,2,2,0,0,217,0,7,6412cc03
520,Matías Viña,uy URU,DF,Bournemouth,25-182,1997,3.8,138,102,36,6,0,0,4,30,0,0,0,0,105,0,2,08eb3b58
521,Rúben Vinagre,pt POR,DFMF,Everton,24-031,1999,0.3,24,19,5,1,0,0,2,4,0,0,0,0,15,0,1,b937e490
522,Carlos Vinícius,br BRA,FW,Fulham,28-046,1995,11.5,176,168,7,0,3,0,6,0,0,0,0,0,110,1,11,8b529245
523,Theo Walcott,eng ENG,FWMF,Southampton,34-055,1989,10.0,206,200,6,0,0,0,15,1,0,0,0,0,143,0,3,1ecb65be
524,Kyle Walker,eng ENG,DF,Manchester City,32-347,1990,17.8,1592,1460,130,19,3,18,24,111,0,0,0,0,1389,2,13,86dd77d1
525,Kyle Walker-Peters,eng ENG,DF,Southampton,26-027,1997,26.4,1210,957,249,15,1,1,49,231,3,0,0,0,923,4,49,984a5a64
526,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-165,1997,12.9,696,595,99,4,2,2,13,95,0,0,0,0,585,2,17,9e525177
527,Danny Ward,wls WAL,GK,Leicester City,29-322,1993,26.0,945,679,261,71,0,4,0,0,0,0,0,0,708,5,2,d3ce0e89
528,Joel Ward,eng ENG,DF,Crystal Palace,33-193,1989,22.1,1057,864,192,24,0,2,32,168,0,0,0,0,788,1,27,8a7ff278
529,James Ward-Prowse,eng ENG,MF,Southampton,28-190,1994,34.5,2047,1733,309,138,2,14,235,7,140,59,62,0,1606,5,33,3515d404
530,Ollie Watkins,eng ENG,FW,Aston Villa,27-131,1995,31.8,531,519,9,0,0,2,9,3,0,0,0,0,368,3,13,aed3a70f
531,Adam Webster,eng ENG,DF,Brighton,28-126,1995,21.3,1669,1606,62,27,0,6,2,35,0,0,0,0,1470,1,10,c40b6180
532,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-276,1992,8.1,184,183,1,0,3,1,0,0,0,0,0,0,132,0,6,c4e87b8b
533,Danny Welbeck,eng ENG,FW,Brighton,32-165,1990,18.5,389,368,19,0,6,0,0,1,0,0,0,0,324,2,6,ce5143da
534,Ben White,eng ENG,DF,Arsenal,25-214,1997,30.9,2044,1766,272,50,5,13,55,222,0,0,0,0,1705,6,27,35e413f1
535,Harvey White,eng ENG,MF,Tottenham,21-233,2001,0.1,8,6,2,0,1,0,3,0,2,2,0,0,3,0,0,4d90ce8c
536,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-070,2004,2.0,83,63,20,5,0,0,0,0,0,0,0,0,61,0,0,3f847d95
537,Neco Williams,wls WAL,DF,Nott'ham Forest,22-027,2001,20.9,840,651,182,28,3,7,89,141,13,7,6,0,533,7,38,dd323728
538,Willian,br BRA,FW,Fulham,34-274,1988,20.8,782,749,32,6,3,11,45,3,23,5,7,1,613,1,16,8b9ebd03
539,Joe Willock,eng ENG,MF,Newcastle Utd,23-263,1999,26.8,912,885,23,3,4,3,48,7,0,0,0,0,745,4,18,a3b03921
540,Callum Wilson,eng ENG,FW,Newcastle Utd,31-072,1992,18.1,215,209,5,1,2,3,5,0,0,0,0,0,144,1,19,c596fcb0
541,Harry Wilson,wls WAL,FW,Fulham,26-049,1997,9.8,333,314,18,3,1,2,19,4,10,2,3,0,252,1,14,c6dc9ecd
542,Yoane Wissa,cd COD,FW,Brentford,26-249,1996,15.0,293,284,6,1,4,2,12,1,0,0,0,0,202,3,15,2500cef9
543,Maximilian Wöber,at AUT,DF,Leeds United,25-095,1998,11.4,582,542,37,12,0,1,5,25,0,0,0,0,409,3,9,4b803b3c
544,Chris Wood,nz NZL,FW,Newcastle Utd,31-154,1991,5.0,106,105,1,0,0,0,0,0,0,0,0,0,66,0,1,4e9a0555
545,Chris Wood,nz NZL,FW,Nott'ham Forest,31-154,1991,4.1,71,71,0,0,1,1,0,0,0,0,0,0,43,0,0,4e9a0555
546,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-120,1997,21.7,1059,986,71,28,0,7,3,43,0,0,0,0,820,2,8,a5212312
547,Granit Xhaka,ch SUI,MF,Arsenal,30-225,1992,31.1,1561,1504,54,34,6,6,39,18,1,0,0,0,1321,3,26,e61b8aee
548,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-170,1997,17.5,528,467,58,12,0,5,6,3,0,0,0,0,411,3,13,c1fe2a48
549,Ashley Young,eng ENG,DF,Aston Villa,37-305,1985,21.2,1130,898,225,52,2,11,39,167,6,2,1,2,854,7,27,be927d03
550,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-251,2002,0.3,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,88968486
551,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-181,1992,24.9,613,591,20,5,3,1,36,5,0,0,0,0,472,2,24,b2bc3b1f
552,Denis Zakaria,ch SUI,MF,Chelsea,26-171,1996,4.6,179,177,2,2,1,1,1,0,0,0,0,0,158,0,5,384d58d9
553,Jordan Zemura,zw ZIM,DF,Bournemouth,23-177,1999,16.2,594,466,127,8,0,1,18,119,0,0,0,0,423,1,30,e8271ad9
554,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-146,1996,23.5,1911,1703,203,49,6,12,37,153,1,0,0,0,1652,5,29,51cf8561
555,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-052,1993,7.0,364,322,38,11,4,3,61,8,18,11,4,1,234,4,14,6622454d
556,Kurt Zouma,fr FRA,DF,West Ham,28-195,1994,21.6,817,787,28,14,0,14,0,3,0,0,0,0,689,2,3,ce4246f5
557,Martin Ødegaard,no NOR,MF,Arsenal,24-144,1998,32.1,1649,1533,105,75,22,9,89,12,18,9,6,1,1325,11,40,79300479
