Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
110,Marc Cucurella,es ESP,DF,Chelsea,24-292,1998,18.6,66,33,40,15,11,30,28,8,20,16,82,48,1,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-348,1999,10.0,7,4,0,5,2,7,14,3,11,9,16,8,0,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-213,1998,12.5,13,8,5,8,0,9,11,2,9,5,18,7,0,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,22.9,53,40,39,13,1,12,24,7,17,35,88,52,2,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-311,2000,8.9,22,15,9,9,4,27,14,1,13,10,32,13,0,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,22-011,2001,9.1,18,7,7,9,2,17,19,5,14,8,26,19,0,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-099,1997,1.0,2,0,1,1,0,0,1,0,1,0,2,0,0,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-199,1998,15.0,18,9,6,6,6,9,22,6,16,5,23,7,1,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,22.5,22,9,9,11,2,11,16,7,9,18,40,62,0,44781702
119,Tom Davies,eng ENG,MF,Everton,24-314,1998,6.0,15,9,5,9,1,7,10,1,9,4,19,7,1,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,33-004,1990,8.0,10,6,8,2,0,2,9,6,3,6,16,26,0,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,33-004,1990,13.7,9,6,6,3,0,3,26,20,6,8,17,64,1,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-316,1991,26.1,26,11,3,12,11,25,26,2,24,9,35,10,0,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-245,1996,1.2,3,1,2,1,0,1,1,0,1,1,4,1,0,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-025,1995,7.7,19,9,11,6,2,10,18,4,14,8,27,11,0,5a7301ae
