Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,-9999
131,Luis Díaz,co COL,FW,Liverpool,26-117,1997,9.1,31,3.41,22,0,5,2,2,0,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-115,1994,31.3,29,0.93,24,1,0,4,0,0,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-294,1993,15.1,27,1.79,23,3,0,0,1,0,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-121,1997,19.4,8,0.41,8,0,0,0,0,0,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-329,1998,7.7,16,2.08,11,0,2,1,2,0,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-180,2005,0.3,0,0.00,0,0,0,0,0,0,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-114,1992,7.4,18,2.43,13,0,2,2,1,0,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-142,1997,34.9,23,0.66,20,0,0,2,0,1,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-129,1993,14.0,40,2.86,33,0,3,2,0,2,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-122,2000,28.1,57,2.03,44,0,2,5,2,4,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-110,1999,6.5,10,1.53,5,0,0,3,2,0,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-153,2001,0.8,1,1.30,1,0,0,0,0,0,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-115,1989,0.7,0,0.00,0,0,0,0,0,0,3a949a25
144,Shane Duffy,ie IRL,DFFW,Fulham,31-129,1992,0.2,0,0.00,0,0,0,0,0,0,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-170,1991,33.0,29,0.88,28,0,0,1,0,0,282f75f3
146,Jhon Durán,co COL,FWMF,Aston Villa,19-148,2003,1.2,5,4.13,3,0,0,1,0,1,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-248,2003,0.4,1,2.65,1,0,0,0,0,0,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-266,1993,33.0,2,0.06,2,0,0,0,0,0,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-114,1998,18.0,41,2.28,30,0,1,9,1,0,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-102,2003,6.3,20,3.18,13,0,3,0,4,0,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-013,2002,4.7,17,3.59,13,0,0,3,1,0,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-036,2003,17.4,66,3.80,53,1,5,5,1,1,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-303,1992,1.3,0,0.00,0,0,0,0,0,0,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-279,1994,22.4,40,1.78,34,0,1,2,2,1,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-116,1999,16.5,33,2.01,31,0,0,0,1,1,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-085,1992,19.9,61,3.07,43,14,1,3,0,0,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-109,1998,25.2,75,2.97,69,2,2,0,2,0,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-127,1988,9.0,4,0.44,4,0,0,0,0,0,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-315,1998,26.3,105,3.99,61,20,9,4,9,2,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-022,1985,31.6,2,0.06,0,2,0,0,0,0,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-199,1993,27.2,50,1.84,45,0,0,1,2,2,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-037,1998,28.0,22,0.79,16,0,1,3,0,2,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-359,1989,13.9,12,0.86,9,0,0,2,1,0,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-181,1999,9.0,27,3.00,13,2,5,3,4,0,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-203,2004,7.2,18,2.51,13,0,1,4,0,0,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-244,1994,33.0,185,5.61,140,23,6,9,7,0,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-113,2001,13.2,39,2.96,33,3,0,2,1,0,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-220,1991,12.6,42,3.32,32,0,4,6,0,0,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-261,1996,13.9,20,1.44,15,2,0,0,2,1,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-347,2000,16.9,81,4.79,62,9,4,4,2,0,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-139,2002,0.7,5,7.38,1,0,4,0,0,0,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-144,2000,2.0,2,1.00,1,0,0,0,0,1,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-144,2000,10.6,10,0.94,10,0,0,0,0,0,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-077,1996,14.1,44,3.13,37,2,1,3,0,1,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-214,1991,3.1,5,1.58,4,1,0,0,0,0,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-054,1988,10.5,0,0.00,0,0,0,0,0,0,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-298,2000,0.0,0,0.00,0,0,0,0,0,0,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-075,1994,3.5,8,2.30,6,1,0,1,0,0,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-066,1993,12.8,47,3.69,39,0,0,4,2,2,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-212,1992,5.9,5,0.84,4,0,1,0,0,0,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-025,1992,24.0,29,1.21,27,1,0,1,0,0,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,24-003,1999,13.8,41,2.97,29,0,3,4,3,2,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-093,2000,14.6,41,2.81,29,4,3,2,2,1,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-226,1989,26.1,45,1.72,30,0,1,2,7,5,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-313,2004,5.0,14,2.78,10,0,2,1,1,0,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-058,2001,6.1,12,1.97,7,2,1,1,1,0,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-184,1990,34.0,4,0.12,2,2,0,0,0,0,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,21-006,2002,2.4,4,1.70,4,0,0,0,0,0,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-246,1993,1.5,3,2.03,0,2,0,1,0,0,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-103,2000,2.0,4,2.00,2,1,1,0,0,0,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-103,2000,30.0,112,3.73,70,24,8,5,2,3,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-333,2001,3.8,11,2.91,11,0,0,0,0,0,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-186,2003,14.1,46,3.27,27,3,4,4,7,1,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,8.9,4,0.45,4,0,0,0,0,0,9f7c837d
195,João Gomes,br BRA,MF,Wolves,22-087,2001,5.3,13,2.44,9,0,1,1,2,0,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,9.0,7,0.78,7,0,0,0,0,0,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,15.3,17,1.11,14,1,0,1,0,1,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-248,2000,1.9,3,1.55,2,1,0,0,0,0,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-075,2001,4.4,13,2.95,8,1,1,1,1,1,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-075,2001,12.2,23,1.89,13,0,1,6,1,2,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-316,1996,26.2,87,3.32,40,24,3,11,8,1,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-242,1995,22.7,104,4.58,71,7,6,6,13,1,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-104,2002,4.1,21,5.09,4,16,0,1,0,0,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-329,1991,31.2,127,4.07,83,36,1,5,1,1,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-120,1987,27.0,1,0.04,1,0,0,0,0,0,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-162,1996,7.9,27,3.44,15,3,1,2,5,1,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-301,2000,34.0,22,0.65,18,1,0,2,1,0,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-175,1997,26.3,87,3.31,71,1,2,1,10,2,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-198,1990,24.3,87,3.58,68,7,2,4,4,2,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-081,2004,0.1,0,0.00,0,0,0,0,0,0,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-293,2000,28.7,69,2.40,46,0,5,10,7,1,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-244,2004,3.4,12,3.55,7,2,0,1,2,0,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-037,2005,0.1,0,0.00,0,0,0,0,0,0,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-171,1996,27.7,110,3.96,64,27,7,5,5,2,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-333,1999,26.1,58,2.23,50,2,1,4,1,0,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-336,2000,1.0,0,0.00,0,0,0,0,0,0,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-104,1996,10.5,24,2.28,20,0,2,1,1,0,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-059,1997,18.0,3,0.17,3,0,0,0,0,0,e5a76dfe
